Northern Mariana Islands,48317,52000
Turks and Caicos Islands,43212,53000
Liechtenstein,35002,38000
San Marino,31477,33000
Monaco,30586,39000
Saint Martin,30235,32000
Gibraltar,28877,29000
Virgin Islands British,24939,35000
Palau,20879,18000
Wallis and Futuna,15343,16000
Anguilla,14766,17000
Cook Islands,11488,9000
Tuvalu,10472,10000
Nauru,9267,11000
Saint Helena,7670,8000
Saint Barthelemy,7406,7000
Saint Pierre and Miquelon,5943,6000
Montserrat,5118,5000
